nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
75,6,6,4,12,10,5,2,3,2
76,8,8,8,12,16,5,2,3,6
77,8,8,8,12,16,5,2,3,6
78,8,8,8,12,16,4,3,2,6
79,8,8,8,12,16,5,2,3,6
80,6,6,4,12,10,4,3,2,2
81,8,8,8,12,16,5,2,3,6
82,8,8,8,12,16,4,3,2,6
83,6,6,4,12,10,4,3,2,2
84,8,8,8,12,16,4,3,2,6
85,6,6,4,12,10,5,2,3,2
86,8,8,8,12,16,4,3,2,6
87,6,6,4,12,10,5,2,3,2
88,8,8,8,12,16,5,2,3,6
89,6,6,4,12,10,4,3,2,2
90,8,8,8,12,16,5,2,3,6
91,6,6,4,12,10,4,3,2,2
92,8,8,8,12,16,4,3,2,6
93,8,8,8,12,16,4,3,2,6
94,6,6,4,12,10,5,2,3,2
95,8,8,8,12,16,5,2,3,6
96,6,6,4,12,10,5,2,3,2
97,6,6,4,12,10,4,3,2,2
98,8,8,8,12,16,5,2,3,6
99,8,8,8,12,16,5,2,3,6
100,6,6,4,12,10,4,3,2,2
101,8,8,8,12,16,4,3,2,6
102,8,8,8,12,16,5,2,3,6
103,6,6,4,12,10,5,2,3,2
104,8,8,8,12,16,4,3,2,6
105,6,6,4,12,10,5,2,3,2
106,6,6,4,12,10,4,3,2,2
107,8,8,8,12,16,5,2,3,6
108,8,8,8,12,16,5,2,3,6
109,8,8,8,12,16,4,3,2,6
110,8,8,8,12,16,5,2,3,6
111,8,8,8,12,16,5,2,3,6
112,8,8,8,12,16,5,2,3,6
113,8,8,8,12,16,5,2,3,6
114,8,8,8,12,16,5,2,3,6
115,6,6,4,12,10,5,2,3,2
116,8,8,8,12,16,4,3,2,6
117,8,8,8,12,16,5,2,3,6
118,6,6,4,12,10,5,2,3,2
119,8,8,8,12,16,5,2,3,6
120,8,8,8,12,16,4,3,2,6
121,8,8,8,12,16,5,2,3,6
122,6,6,4,12,10,5,2,3,2
123,6,6,4,12,10,4,3,2,2
124,8,8,8,12,16,4,3,2,6
125,8,8,8,12,16,5,2,3,6
126,6,6,4,12,10,5,2,3,2
127,6,6,4,12,10,5,2,3,2
128,8,8,8,12,16,5,2,3,6
129,6,6,4,12,10,5,2,3,2
130,8,8,8,12,16,4,3,2,6
131,8,8,8,12,16,5,2,3,6
132,8,8,8,12,16,5,2,3,6
133,6,6,4,12,10,5,2,3,2
134,8,8,8,12,16,4,3,2,6
135,8,8,8,12,16,5,2,3,6
136,8,8,8,12,16,5,2,3,6
137,8,8,8,12,16,5,2,3,6
138,8,8,8,12,16,5,2,3,6
139,8,8,8,12,16,5,2,3,6
140,8,8,8,12,16,5,2,3,6
141,8,8,8,12,16,5,2,3,6
142,6,6,4,12,10,4,3,2,2
143,6,6,4,12,10,5,2,3,2
144,6,6,4,12,10,5,2,3,2
145,8,8,8,12,16,5,2,3,6
146,6,6,4,12,10,4,3,2,2
147,6,6,4,12,10,5,2,3,2
148,8,8,8,12,16,4,3,2,6
149,6,6,4,12,10,4,3,2,2
150,6,6,4,12,10,4,3,2,2
151,8,8,8,12,16,5,2,3,6
152,8,8,8,12,16,4,3,2,6
153,8,8,8,12,16,5,2,3,6
154,8,8,8,12,16,5,2,3,6
155,6,6,4,12,10,5,2,3,2
156,8,8,8,12,16,5,2,3,6
157,6,6,4,12,10,5,2,3,2
158,6,6,4,12,10,5,2,3,2
159,6,6,4,12,10,4,3,2,2
160,8,8,8,12,16,5,2,3,6
161,8,8,8,12,16,5,2,3,6
162,8,8,8,12,16,5,2,3,6
163,6,6,4,12,10,4,3,2,2
164,6,6,4,12,10,5,2,3,2
165,8,8,8,12,16,4,3,2,6
166,8,8,8,12,16,5,2,3,6
167,8,8,8,12,16,5,2,3,6
168,8,8,8,12,16,4,3,2,6
169,8,8,8,12,16,5,2,3,6
170,6,6,4,12,10,4,3,2,2
171,8,8,8,12,16,4,3,2,6
172,8,8,8,12,16,4,3,2,6
173,8,8,8,12,16,4,3,2,6
174,6,6,4,12,10,5,2,3,2
175,8,8,8,12,16,5,2,3,6
176,8,8,8,12,16,4,3,2,6
177,6,6,4,12,10,5,2,3,2
178,6,6,4,12,10,5,2,3,2
179,6,6,4,12,10,5,2,3,2
180,8,8,8,12,16,4,3,2,6
181,8,8,8,12,16,5,2,3,6
182,8,8,8,12,16,4,3,2,6
183,8,8,8,12,16,5,2,3,6
184,6,6,4,12,10,4,3,2,2
185,8,8,8,12,16,5,2,3,6
186,8,8,8,12,16,5,2,3,6
187,6,6,4,12,10,4,3,2,2
188,8,8,8,12,16,4,3,2,6
189,6,6,4,12,10,5,2,3,2
190,8,8,8,12,16,5,2,3,6
191,8,8,8,12,16,5,2,3,6
192,6,6,4,12,10,4,3,2,2
193,8,8,8,12,16,4,3,2,6
194,6,6,4,12,10,4,3,2,2
195,8,8,8,12,16,5,2,3,6
196,6,6,4,12,10,5,2,3,2
197,8,8,8,12,16,5,2,3,6
198,6,6,4,12,10,4,3,2,2
199,6,6,4,12,10,5,2,3,2
200,8,8,8,12,16,5,2,3,6
