nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
91,12,12,12,12,24,5,2,4,9
92,12,12,12,12,24,5,2,4,9
93,9,9,6,12,15,5,2,4,3
94,9,9,6,12,15,5,2,4,3
95,12,12,12,12,24,5,2,4,9
96,12,12,12,12,24,4,3,3,9
97,12,12,12,12,24,5,2,4,9
98,12,12,12,12,24,5,2,4,9
99,9,9,6,12,15,5,2,4,3
100,9,9,6,12,15,5,2,4,3
101,12,12,12,12,24,5,2,4,9
102,12,12,12,12,24,4,3,3,9
103,12,12,12,12,24,5,2,4,9
104,9,9,6,12,15,4,3,3,3
105,12,12,12,12,24,5,2,4,9
106,12,12,12,12,24,4,3,3,9
107,12,12,12,12,24,5,2,4,9
108,12,12,12,12,24,4,3,3,9
109,12,12,12,12,24,5,2,4,9
110,9,9,6,12,15,5,2,4,3
111,12,12,12,12,24,5,2,4,9
112,9,9,6,12,15,4,3,3,3
113,9,9,6,12,15,5,2,4,3
114,9,9,6,12,15,5,2,4,3
115,12,12,12,12,24,5,2,4,9
116,12,12,12,12,24,4,3,3,9
117,12,12,12,12,24,5,2,4,9
118,12,12,12,12,24,5,2,4,9
119,12,12,12,12,24,5,2,4,9
120,12,12,12,12,24,5,2,4,9
121,12,12,12,12,24,4,3,3,9
122,9,9,6,12,15,5,2,4,3
123,12,12,12,12,24,5,2,4,9
124,12,12,12,12,24,5,2,4,9
125,12,12,12,12,24,5,2,4,9
126,9,9,6,12,15,5,2,4,3
127,9,9,6,12,15,5,2,4,3
128,12,12,12,12,24,5,2,4,9
129,12,12,12,12,24,5,2,4,9
130,9,9,6,12,15,5,2,4,3
131,9,9,6,12,15,5,2,4,3
132,9,9,6,12,15,4,3,3,3
133,9,9,6,12,15,5,2,4,3
134,9,9,6,12,15,5,2,4,3
135,12,12,12,12,24,5,2,4,9
136,12,12,12,12,24,5,2,4,9
137,12,12,12,12,24,5,2,4,9
138,12,12,12,12,24,5,2,4,9
139,12,12,12,12,24,4,3,3,9
140,12,12,12,12,24,4,3,3,9
141,12,12,12,12,24,5,2,4,9
142,12,12,12,12,24,5,2,4,9
143,9,9,6,12,15,5,2,4,3
144,12,12,12,12,24,5,2,4,9
145,12,12,12,12,24,4,3,3,9
146,12,12,12,12,24,5,2,4,9
147,12,12,12,12,24,5,2,4,9
148,9,9,6,12,15,5,2,4,3
149,9,9,6,12,15,4,3,3,3
150,9,9,6,12,15,4,3,3,3
151,12,12,12,12,24,4,3,3,9
152,12,12,12,12,24,5,2,4,9
153,9,9,6,12,15,5,2,4,3
154,9,9,6,12,15,4,3,3,3
155,12,12,12,12,24,5,2,4,9
156,12,12,12,12,24,4,3,3,9
157,12,12,12,12,24,4,3,3,9
158,12,12,12,12,24,4,3,3,9
159,12,12,12,12,24,5,2,4,9
160,12,12,12,12,24,5,2,4,9
161,12,12,12,12,24,5,2,4,9
162,9,9,6,12,15,5,2,4,3
163,12,12,12,12,24,5,2,4,9
164,9,9,6,12,15,4,3,3,3
165,12,12,12,12,24,5,2,4,9
166,12,12,12,12,24,4,3,3,9
167,9,9,6,12,15,4,3,3,3
168,12,12,12,12,24,5,2,4,9
169,9,9,6,12,15,4,3,3,3
170,9,9,6,12,15,4,3,3,3
171,12,12,12,12,24,5,2,4,9
172,12,12,12,12,24,5,2,4,9
173,12,12,12,12,24,5,2,4,9
174,12,12,12,12,24,5,2,4,9
175,9,9,6,12,15,5,2,4,3
176,9,9,6,12,15,5,2,4,3
177,12,12,12,12,24,5,2,4,9
178,12,12,12,12,24,4,3,3,9
179,12,12,12,12,24,4,3,3,9
180,9,9,6,12,15,4,3,3,3
181,9,9,6,12,15,5,2,4,3
182,9,9,6,12,15,5,2,4,3
183,12,12,12,12,24,5,2,4,9
184,12,12,12,12,24,4,3,3,9
185,9,9,6,12,15,5,2,4,3
186,12,12,12,12,24,4,3,3,9
187,9,9,6,12,15,5,2,4,3
188,12,12,12,12,24,5,2,4,9
189,12,12,12,12,24,5,2,4,9
190,9,9,6,12,15,5,2,4,3
191,12,12,12,12,24,4,3,3,9
192,12,12,12,12,24,4,3,3,9
193,12,12,12,12,24,5,2,4,9
194,9,9,6,12,15,5,2,4,3
195,12,12,12,12,24,5,2,4,9
196,9,9,6,12,15,5,2,4,3
197,9,9,6,12,15,4,3,3,3
198,9,9,6,12,15,5,2,4,3
199,12,12,12,12,24,5,2,4,9
200,9,9,6,12,15,4,3,3,3
